,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
                          Federal  , -   , -   , -   , -   , -   , -   ,8,15,36,67,71,61,91,165,247,395,597,869,"1,181","1,533","1,936","2,094","2,350","2,664","2,817","3,159","3,558","3,896","4,440","5,260","6,029","7,268","8,277","9,758","10,917","12,385","13,973","14,903","15,762","16,991","18,386","20,383","22,654","25,318","27,046","27,985","29,564","31,807","34,510","42,655","45,567","41,942","42,736","46,661"
                          State and Local, -   , -   , -   , -   , -   , -   ,10,20,35,57,64,45,89,146,198,316,403,660,904,"1,176","1,599","1,715","1,909","2,147","2,287","2,561","2,818","3,072","3,374","3,969","4,537","5,679","6,066","6,969","8,191","9,400","10,213","11,401","12,114","13,025","14,000","15,488","17,343","17,682","19,416","21,421","22,936","24,648","24,345","21,641","22,325","27,634","32,808","35,899"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,50,120,218,234,293,281,431,418,605,584,680,949,750,754,863,954
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,34,86,153,166,207,200,294,287,416,408,490,707,544,545,613,670
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16,34,65,68,85,81,136,130,189,176,190,242,205,209,251,283
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs,45,47,49,51,54,60,64,76,88,84,65,59,70,77,91,113,141,131,159,171,200,234,282,344,403,459,520,571,595,638,681,722,767,814,885,844,935,975,"1,095","1,131","1,249","1,396","1,555","1,855","2,059","2,181","2,143","1,333","1,344","1,645","2,307","3,057","3,235","3,514"
     Other Third Party Payers and Programs,318,378,402,442,485,528,600,663,740,814,880,977,"1,155","1,278","1,469","1,703","2,012","2,355","2,710","3,228","3,944","4,468","5,011","5,530","6,084","6,671","7,025","7,433","8,297","9,075","9,980","10,814","11,387","12,410","13,398","14,418","15,771","16,988","19,898","21,011","22,680","24,309","25,834","27,450","29,119","30,806","32,329","34,545","36,864","38,651","39,845","40,795","41,447","41,815"
         Worksite Health Care,64,68,74,81,90,99,112,132,150,174,200,221,250,285,331,377,452,534,621,723,829,954,"1,043","1,157","1,306","1,392","1,520","1,681","1,859","2,024","2,214","2,325","2,463","2,588","2,707","2,839","2,950","3,084","3,190","3,291","3,483","3,618","3,739","3,887","4,063","4,240","4,350","4,497","4,504","4,525","4,647","4,839","5,097","5,320"
         Other Private Revenues,29,31,34,38,43,48,48,56,68,80,93,104,118,133,153,114,143,166,194,253,326,490,781,906,"1,056","1,235","1,276","1,271","1,497","1,718","1,607","1,580","1,557","1,828","2,057","2,237","2,904","3,445","4,910","5,024","5,258","5,301","5,632","5,989","6,462","7,313","8,544","10,135","11,229","11,747","12,111","12,335","12,884","12,903"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12,14,21,33,36,44,55,49,47,60,64,62,67,66,71,108,131,160,172,181,198,191,200,200,205,222,261,257,270,283,284,294,307,334,367,396,399,407,395
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance,3,3,3,3,3,4,5,7,9,10,12,14,17,20,24,29,32,33,37,41,67,78,70,69,84,87,80,77,76,84,104,101,130,122,217,376,375,281,125,94,69,103,100,118,124,234,210,248,432,627,510,642,555,588
         Maternal/Child Health,64,91,94,106,118,125,137,138,151,174,164,174,178,177,207,228,255,278,303,349,396,399,431,539,547,632,678,706,723,749,756,855,915,976,"1,043","1,068","1,102","1,152","1,203","1,261","1,351","1,338","1,334","1,333","1,309","1,324","1,330","1,389","1,398","1,328","1,298","1,149","1,043",977
                          Federal  ,13,21,22,23,29,36,45,47,49,59,41,53,67,57,73,86,96,104,115,121,124,119,121,157,131,152,142,148,152,163,159,177,190,200,212,210,208,205,212,217,219,220,228,228,227,223,213,210,205,207,207,204,197,194
                          State and Local,51,71,72,83,89,89,92,91,101,115,122,121,111,120,133,143,159,174,189,228,272,281,310,381,416,481,535,558,570,586,597,678,725,776,832,858,894,947,992,"1,044","1,131","1,117","1,106","1,105","1,082","1,101","1,118","1,179","1,193","1,121","1,090",945,846,782
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*,16,21,25,37,38,39,78,86,85,71,73,103,193,211,245,227,297,286,281,362,478,388,307,300,329,341,344,382,435,480,607,810,920,"1,081","1,251","1,311","1,521","1,781","1,972","2,236","2,490","2,668","2,789","2,936","3,038","3,047","3,044","3,136","3,261","3,468","3,495","3,600","3,583","3,483"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,127,127,147,185,189,248,253,211,208,222,197,211,241,328,270,551,726,762,756,832,948,885,696,"1,188","1,378","1,476","1,620","1,787","1,874","1,890","1,995","1,944","1,960","2,007","2,088","2,212","2,320","2,098","2,021"
         Other State and Local Programs**,21,24,26,34,42,44,32,29,36,42,47,54,78,106,132,188,257,380,495,675,894,"1,142","1,367","1,509","1,635","1,804","1,869","1,968","2,214","2,493","2,741","2,923","3,064","3,334","3,407","3,657","3,954","4,313","4,913","5,192","5,848","6,712","7,307","8,012","8,759","9,006","9,028","8,998","9,607","10,299","10,890","11,180","11,346","11,632"
         School Health,122,140,147,143,151,168,187,215,242,263,290,308,321,346,377,400,433,509,559,600,663,708,753,795,847,919,986,"1,040","1,099","1,185","1,293","1,363","1,416","1,553","1,701","1,785","1,890","2,037","2,197","2,330","2,483","2,689","2,888","3,032","3,193","3,363","3,585","3,875","4,093","4,202","4,287","4,331","4,433","4,496"
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,22,46,86,140,153,127,205,341,483,759,"1,057","1,599","2,173","2,819","3,667","3,962","4,460","5,072","5,406","6,063","6,788","7,449","8,303","9,864","11,329","13,879","15,453","18,006","20,548","23,352","25,846","28,017","29,619","31,791","34,387","38,149","42,659","45,960","49,934","53,332","56,817","60,968","63,760","69,821","73,417","75,278","81,497","88,622"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Administration and Total Net Cost of Health Insurance Expenditures,"1,067","1,160","1,284","1,324","1,509","1,836","2,057","2,132","2,582","2,405","2,625","3,217","4,318","4,802","4,504","4,911","6,752","9,435","11,195","12,039","12,033","14,075","16,316","18,493","23,602","25,224","22,472","21,015","26,748","34,085","38,779","39,699","42,991","52,368","56,040","57,737","59,915","61,029","62,873","70,571","81,255","90,054","111,946","131,770","140,939","150,787","165,488","171,894","170,091","167,597","182,807","192,702","199,513","210,588"
     Out of pocket, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Health Insurance,859,936,"1,023","1,055","1,156","1,359","1,617","1,711","2,091","1,875","2,107","2,732","3,808","4,184","3,836","4,222","5,998","8,502","10,030","10,476","10,213","12,136","14,248","16,613","22,093","23,530","20,736","18,677","24,147","31,795","36,220","37,339","39,882","47,964","50,717","52,227","54,238","55,869","58,654","66,216","75,540","82,943","102,192","119,214","127,459","135,406","149,783","157,155","157,789","158,700","174,317","182,455","187,082","194,947"
          Private Health Insurance,847,924,"1,011","1,042","1,143","1,345","1,432","1,379","1,626","1,347","1,427","2,002","2,950","3,174","2,614","2,826","4,289","6,734","7,891","8,174","7,664","9,218","11,257","13,258","18,300","19,191","16,176","13,782","18,523","25,459","29,140","29,522","31,256","38,066","38,645","38,803","41,123","39,898","40,685","46,196","52,560","57,269","73,346","88,561","93,609","96,749","101,190","104,628","101,874","97,021","106,770","111,162","112,742","115,749"
          Medicare, -   , -   , -   , -   , -   , -   ,120,193,287,310,397,407,474,548,680,726,879,754,"1,002","1,022","1,127","1,313","1,290","1,443","1,608","2,034","2,061","2,129","2,561","2,860","2,916","3,343","3,628","3,730","4,240","4,535","5,177","6,172","6,861","7,138","8,496","8,575","8,830","8,667","11,026","13,484","21,393","24,044","24,959","28,551","30,728","32,757","34,423","35,157"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,52,122,156,191,251,284,341,411,483,607,759,944,"1,059","1,198","1,335","1,512","1,593","1,780","2,052","2,176","2,364","2,620","2,907","3,301","3,968","4,290","4,769","5,920","7,558","8,613","7,660","9,498","10,713","12,253","13,540","15,801","18,122","19,657","20,031","21,818","23,483","24,443","26,757","28,564","31,489","33,105","34,700","38,607"
                          Federal  , -   , -   , -   , -   , -   , -   ,26,64,81,102,135,166,187,236,283,360,492,579,699,799,829,972,"1,032","1,060","1,205","1,324","1,410","1,493","1,656","1,909","2,278","2,438","2,580","3,281","3,710","4,203","4,223","5,303","5,939","6,904","7,598","8,800","10,162","11,166","11,217","12,111","12,525","13,560","15,056","16,963","19,112","19,133","19,671","22,163"
                          State and Local, -   , -   , -   , -   , -   , -   ,25,59,75,88,116,118,154,175,200,247,267,365,361,399,506,540,560,720,847,852,954,"1,127","1,251","1,392","1,690","1,852","2,189","2,639","3,848","4,409","3,437","4,195","4,774","5,349","5,942","7,001","7,959","8,492","8,814","9,708","10,958","10,883","11,701","11,600","12,377","13,972","15,029","16,444"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,51,233,482,678,924,991,"1,005","1,106","1,171","1,309","1,515","1,570","1,806","1,935","1,983","2,185"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,36,163,335,472,641,689,699,769,808,907,"1,056","1,097","1,256","1,344","1,374","1,505"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,15,71,147,205,283,302,306,338,363,402,459,472,550,591,609,680
         Department of Defense,2,2,2,2,2,2,2,5,9,11,13,17,21,25,26,26,29,32,32,35,37,42,53,73,68,68,82,99,111,129,152,131,168,172,194,203,207,233,275,322,381,532,856,"1,179","1,585","2,033","2,361","2,603","2,618","2,913","3,487","3,464","3,202","3,215"
         Department of Veterans Affairs,10,10,11,11,12,12,12,12,12,16,19,21,23,26,32,37,41,38,46,47,50,52,55,60,64,61,53,47,45,46,44,53,60,76,80,75,72,68,69,73,80,89,114,158,203,215,184,128,66,82,36,32,31,33
     Other Third Party Payers and Programs,209,224,261,269,353,477,440,420,491,531,519,485,511,617,668,689,754,932,"1,166","1,563","1,820","1,939","2,068","1,881","1,509","1,694","1,736","2,338","2,601","2,290","2,559","2,360","3,109","4,404","5,323","5,509","5,677","5,160","4,219","4,355","5,715","7,111","9,754","12,556","13,480","15,382","15,705","14,740","12,302","8,897","8,490","10,246","12,431","15,641"
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,8,9,11,12,13,14,14,14,15,16,14,15,16,21,26,32,35,37,38,37,42,44,47,54,60,65,67,68,68,68,68,68,68,77,93,97,106,107
         Workers' Compensation,180,184,209,216,241,269,310,350,414,450,480,439,462,569,618,631,652,820,"1,045","1,433","1,682","1,789","1,899","1,715","1,344","1,516","1,555","2,152","2,402","2,087","2,330","2,113","2,839","4,099","5,001","5,186","5,340","4,829","3,875","3,980","5,314","6,680","9,311","12,110","13,033","14,936","15,247","14,269","11,849","8,410","7,736","9,149","10,699","12,573"
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Maternal/Child Health,7,11,11,12,14,15,18,20,24,27,26,29,31,32,33,29,39,49,48,53,59,61,63,73,71,82,87,94,97,99,102,113,122,128,133,135,139,146,148,157,165,163,163,163,161,163,163,173,173,163,161,141,131,121
                          Federal  ,1,1,1,1,1,1,2,2,2,3,3,4,5,5,4,4,5,5,6,6,6,6,5,4,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
                          State and Local,7,10,10,11,12,14,16,18,21,24,23,26,27,27,29,25,34,44,42,47,54,55,58,69,69,79,84,91,94,96,99,110,119,124,129,132,135,143,145,153,162,160,160,159,157,159,160,169,169,160,157,138,127,118
         Vocational Rehabilitation,1,1,1,2,2,2,3,5,7,8,9,10,11,12,15,18,18,18,18,20,22,24,24,25,25,26,28,30,31,32,33,34,37,38,36,35,37,41,43,44,47,49,51,51,52,50,53,54,53,57,62,62,60,59
                          Federal  ,1,1,1,1,1,1,2,3,5,6,7,8,8,10,12,14,14,14,14,15,17,18,18,18,19,20,21,23,24,24,26,27,28,29,27,26,27,31,32,33,36,37,39,39,40,38,40,41,40,44,48,48,46,46
                          State and Local, -   , -   ,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,9,10,10,11,12,12,12,12,12,11,13,13,12,13,14,13,13,13
         Other Federal Programs*,10,14,20,22,40,70,47,25,26,24,4,6,6,4,3, -   ,30,30,35,37,34,43,60,48,49,50,49,43,39,40,45,43,49,59,59,65,84,69,67,73,79,86,97,107,106,107,115,114,98,125,373,727,"1,352","2,696"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,8,7,9,8,10,9,8,7,4,4,4,5,15,12,22,25,27,43,56,51,35,31,39,46,50,68,65,57,60,58,59,62,62,65,64,70,85,85
         Other State and Local Programs**,10,13,18,17,56,120,63,21,21,22, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,172,315,443,501,648,691,815,959,"1,163","1,333","1,638","1,698","2,061","2,220","2,462","2,825","2,883","3,223","3,660","4,210","4,425","4,749","5,468","6,161","6,884","7,633","8,397","9,650","11,798","13,148","12,837","15,670","17,625","19,624","22,518","25,054","27,876","29,315","32,062","36,408","46,047","49,796","53,231","58,685","64,023","67,797","71,106","75,949"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and Local  Administration Expenditures,30,38,43,44,85,150,123,118,138,157,166,169,210,237,273,321,362,481,480,532,652,696,719,906,"1,063","1,105","1,289","1,546","1,737","1,939","2,247","2,557","2,932","3,117","4,205","4,616","3,607","4,156","4,399","4,645","5,584","6,857","8,197","9,439","9,760","10,538","10,539","9,846","9,429","8,993","8,583","8,951","9,362","9,779"
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance, -   , -   , -   , -   , -   , -   ,25,58,73,86,113,114,150,170,195,240,260,357,352,390,495,529,546,695,809,807,911,"1,082","1,183","1,290","1,550","1,708","1,985","2,336","3,468","3,911","2,827","3,446","3,922","4,303","4,761","5,454","5,860","6,391","6,558","6,997","7,911","7,833","8,252","8,495","8,426","8,786","8,690","9,023"
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,25,58,73,86,113,114,150,170,195,240,260,357,352,390,495,529,546,695,809,807,911,"1,082","1,183","1,290","1,550","1,708","1,985","2,336","3,468","3,911","2,827","3,446","3,913","4,262","4,671","5,341","5,717","6,235","6,400","6,819","7,736","7,626","8,028","8,270","8,186","8,512","8,396","8,683"
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , -   , -   , -   , -   ,25,58,73,86,113,114,150,170,195,240,260,357,352,390,495,529,546,695,809,807,911,"1,082","1,183","1,290","1,550","1,708","1,985","2,336","3,468","3,911","2,827","3,446","3,913","4,262","4,671","5,341","5,717","6,235","6,400","6,819","7,736","7,626","8,028","8,270","8,186","8,512","8,396","8,683"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,41,90,113,143,156,158,177,175,208,224,225,240,274,294,340
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,41,90,113,143,156,158,177,175,208,224,225,240,274,294,340
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs,30,38,43,44,85,150,98,60,65,71,53,54,60,67,78,81,102,123,127,142,157,167,173,211,253,298,378,464,553,649,697,849,947,781,738,704,780,710,478,343,823,"1,403","2,337","3,048","3,202","3,541","2,628","2,012","1,177",499,157,165,672,756
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation,13,14,14,15,16,16,18,20,21,23,28,27,31,37,46,53,64,76,81,90,98,106,109,135,178,213,287,366,452,545,590,731,819,648,600,564,636,557,323,179,649,"1,232","2,166","2,877","3,034","3,371","2,455","1,830",995,325,-14,14,531,625
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,7,10,10,11,12,14,16,18,21,24,23,26,27,27,29,25,34,44,42,47,54,55,58,69,69,79,84,91,94,96,99,110,119,124,129,132,135,143,145,153,162,160,160,159,157,159,160,169,169,160,157,138,127,118
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,7,10,10,11,12,14,16,18,21,24,23,26,27,27,29,25,34,44,42,47,54,55,58,69,69,79,84,91,94,96,99,110,119,124,129,132,135,143,145,153,162,160,160,159,157,159,160,169,169,160,157,138,127,118
         Vocational Rehabilitation, -   , -   ,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,9,10,10,11,12,12,12,12,12,11,13,13,12,13,14,13,13,13
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   ,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,9,10,10,11,12,12,12,12,12,11,13,13,12,13,14,13,13,13
         Other Federal Programs*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other State and Local Programs**,10,13,18,17,56,120,63,21,21,22, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,25,58,73,86,113,114,150,170,195,240,260,357,352,390,495,529,546,695,809,807,911,"1,082","1,183","1,290","1,550","1,708","1,985","2,336","3,468","3,911","2,827","3,446","3,922","4,303","4,761","5,454","5,860","6,391","6,558","6,996","7,911","7,834","8,252","8,495","8,426","8,786","8,690","9,023"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Administration Expenditures,24,29,36,38,57,87,211,303,421,470,574,625,719,849,"1,035","1,172","1,499","1,461","1,846","1,975","2,118","2,457","2,517","2,683","2,950","3,425","3,472","3,558","4,104","4,585","4,932","5,393","5,704","6,118","6,734","7,052","7,223","8,062","8,778","9,842","11,501","12,251","13,881","15,060","16,613","17,775","18,232","19,441","20,011","20,803","21,935","23,800","24,803","27,193"
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance,12,12,13,13,13,13,159,272,387,436,559,606,699,829,"1,014","1,140","1,432","1,393","1,768","1,892","2,035","2,363","2,407","2,585","2,850","3,323","3,375","3,461","3,995","4,473","4,797","5,249","5,546","5,930","6,533","6,852","7,014","7,866","8,571","9,613","11,252","11,966","13,583","14,755","16,299","17,462","17,905","19,105","19,686","20,430","21,275","22,771","23,150","24,223"
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare, -   , -   , -   , -   , -   , -   ,120,193,287,310,397,407,474,548,680,726,879,754,"1,002","1,022","1,127","1,308","1,279","1,416","1,549","1,912","1,867","1,858","2,238","2,474","2,455","2,812","3,002","2,801","3,057","3,023","3,279","3,228","3,431","3,671","4,676","4,522","5,099","5,182","6,288","6,494","6,673","6,680","6,873","6,974","7,309","8,226","8,568","8,525"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,26,62,79,99,130,161,181,230,276,351,482,568,688,788,821,962,"1,019","1,036","1,168","1,281","1,372","1,457","1,601","1,824","2,145","2,253","2,317","2,881","3,202","3,552","3,456","4,337","4,774","5,445","5,901","6,555","7,183","7,876","7,863","8,313","8,290","9,220","9,608","9,927","9,871","10,416","10,673","11,693"
                          Federal  , -   , -   , -   , -   , -   , -   ,26,62,79,99,130,161,181,230,276,351,482,568,688,788,821,962,"1,019","1,036","1,168","1,281","1,372","1,457","1,601","1,824","2,145","2,253","2,317","2,881","3,202","3,552","3,456","4,337","4,774","5,445","5,901","6,555","7,183","7,876","7,863","8,313","8,290","9,220","9,608","9,927","9,871","10,416","10,673","11,693"
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22,101,214,269,331,360,360,407,396,473,523,534,571,633,675,757
